x,y,name
6/28/2024 20:00,6.43,Buy Box
7/3/2024 20:00,6.43,Buy Box
7/3/2024 20:00,6.12,Buy Box
7/4/2024 20:00,6.12,Buy Box
7/4/2024 20:00,6.43,Buy Box
7/12/2024 20:00,6.43,Buy Box
7/12/2024 20:00,6.12,Buy Box
7/13/2024 20:00,6.12,Buy Box
7/13/2024 20:00,6.43,Buy Box
7/18/2024 20:00,6.43,Buy Box
7/18/2024 20:00,6.12,Buy Box
7/20/2024 20:00,6.12,Buy Box
7/20/2024 20:00,6.43,Buy Box
7/25/2024 20:00,6.43,Buy Box
7/25/2024 20:00,6.12,Buy Box
7/27/2024 20:00,6.12,Buy Box
7/27/2024 20:00,6.43,Buy Box
7/28/2024 20:00,6.43,Buy Box
7/28/2024 20:00,6.12,Buy Box
8/2/2024 20:00,6.12,Buy Box
8/2/2024 20:00,6.43,Buy Box
8/9/2024 20:00,6.43,Buy Box
8/9/2024 20:00,6.12,Buy Box
8/10/2024 20:00,6.12,Buy Box
8/10/2024 20:00,6.43,Buy Box
9/16/2024 20:00,6.43,Buy Box
9/16/2024 20:00,6.12,Buy Box
9/17/2024 20:00,6.12,Buy Box
9/17/2024 20:00,6.43,Buy Box
9/19/2024 20:00,6.43,Buy Box
9/19/2024 20:00,6.12,Buy Box
9/21/2024 20:00,6.12,Buy Box
9/21/2024 20:00,6.43,Buy Box
9/23/2024 20:00,6.43,Buy Box
9/23/2024 20:00,6.12,Buy Box
9/27/2024 20:00,6.12,Buy Box
9/27/2024 20:00,6.43,Buy Box
10/7/2024 20:00,6.43,Buy Box
10/7/2024 20:00,6.12,Buy Box
10/8/2024 20:00,6.12,Buy Box
10/8/2024 20:00,6.43,Buy Box
10/11/2024 20:00,6.43,Buy Box
10/11/2024 20:00,6.12,Buy Box
10/12/2024 20:00,6.12,Buy Box
10/12/2024 20:00,6.43,Buy Box
10/13/2024 20:00,6.43,Buy Box
10/13/2024 20:00,6.12,Buy Box
10/14/2024 20:00,6.12,Buy Box
10/14/2024 20:00,6.43,Buy Box
10/15/2024 20:00,6.43,Buy Box
10/15/2024 20:00,6.12,Buy Box
10/30/2024 20:00,6.12,Buy Box
10/30/2024 20:00,6.43,Buy Box
11/19/2024 19:00,6.43,Buy Box
11/19/2024 19:00,6.12,Buy Box
11/22/2024 19:00,6.12,Buy Box
11/22/2024 19:00,7.43,Buy Box
11/23/2024 19:00,7.43,Buy Box
11/23/2024 19:00,7.08,Buy Box
11/24/2024 19:00,7.08,Buy Box
11/24/2024 19:00,7.43,Buy Box
12/16/2024 19:00,7.43,Buy Box
12/16/2024 19:00,7.08,Buy Box
1/22/2025 19:00,7.08,Buy Box
1/22/2025 19:00,7.68,Buy Box
1/28/2025 19:00,7.68,Buy Box
1/28/2025 19:00,10.65,Buy Box
2/6/2025 19:00,10.65,Buy Box
2/6/2025 19:00,6.5,Buy Box
2/7/2025 19:00,6.5,Buy Box
2/7/2025 19:00,10.65,Buy Box
3/13/2025 20:00,10.65,Buy Box
3/13/2025 20:00,9.67,Buy Box
3/18/2025 20:00,9.67,Buy Box
3/18/2025 20:00,7.11,Buy Box
3/21/2025 20:00,7.11,Buy Box
3/21/2025 20:00,5.62,Buy Box
4/10/2025 20:00,5.62,Buy Box
4/10/2025 20:00,7.54,Buy Box
4/11/2025 20:00,7.54,Buy Box
4/11/2025 20:00,4.74,Buy Box
4/24/2025 20:00,4.74,Buy Box
4/24/2025 20:00,7.54,Buy Box
4/26/2025 20:00,7.54,Buy Box
4/26/2025 20:00,4.74,Buy Box
5/30/2025 20:00,4.74,Buy Box
5/30/2025 20:00,8.14,Buy Box
6/4/2025 20:00,8.14,Buy Box
6/4/2025 20:00,6.67,Buy Box
6/5/2025 20:00,6.67,Buy Box
6/5/2025 20:00,8.14,Buy Box
6/30/2025 20:00,8.14,Buy Box
6/30/2025 20:00,4.74,Buy Box
7/12/2025 20:00,4.74,Buy Box
7/12/2025 20:00,8.14,Buy Box
7/19/2025 20:00,8.14,Buy Box
7/19/2025 20:00,6.67,Buy Box
7/23/2025 20:00,6.67,Buy Box
7/23/2025 20:00,8.14,Buy Box
7/27/2025 20:00,8.14,Buy Box
7/27/2025 20:00,6.67,Buy Box
9/16/2025 20:00,6.67,Buy Box
9/16/2025 20:00,8.14,Buy Box
9/18/2025 20:00,8.14,Buy Box
9/18/2025 20:00,6.67,Buy Box
10/9/2025 20:00,6.67,Buy Box
10/9/2025 20:00,5.97,Buy Box
10/14/2025 20:00,5.97,Buy Box
10/14/2025 20:00,6.67,Buy Box
10/18/2025 0:48,6.67,Buy Box
